method,latency_us
sleep_for,2.346340
sleep_for,15.050607
sleep_for,6.583728
sleep_for,4.564713
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,10.056154
sleep_for,4.595411
sleep_for,6.156250
sleep_for,1.000000
sleep_for,17.517787
sleep_for,8.932148
sleep_for,1.193438
sleep_for,1.003395
sleep_for,1.013057
sleep_for,1.813769
sleep_for,3.719639
sleep_for,2.827685
sleep_for,1.721115
sleep_for,4.731854
sleep_for,1.000000
sleep_for,1.727578
sleep_for,2.281386
sleep_for,3.044673
sleep_for,7.689680
sleep_for,1.113679
sleep_for,3.610146
sleep_for,4.487524
sleep_for,1.000000
sleep_for,4.676665
sleep_for,1.000000
sleep_for,1.000000
sleep_for,14.868439
sleep_for,16.853152
sleep_for,8.261658
sleep_for,1.816439
sleep_for,1.000000
sleep_for,5.763754
sleep_for,2.900454
sleep_for,1.000000
sleep_for,3.417736
sleep_for,1.000000
sleep_for,12.002114
sleep_for,1.497289
sleep_for,5.431279
sleep_for,1.867733
sleep_for,3.670554
sleep_for,3.956119
sleep_for,1.021943
sleep_for,17.464036
sleep_for,7.461227
sleep_for,14.025472
sleep_for,11.260760
sleep_for,4.555272
sleep_for,12.747177
sleep_for,1.000000
sleep_for,1.090673
sleep_for,1.000000
sleep_for,1.967660
sleep_for,2.460651
sleep_for,1.582802
sleep_for,8.822789
sleep_for,2.206135
sleep_for,1.649014
sleep_for,3.912035
sleep_for,1.000000
sleep_for,8.102418
sleep_for,1.000000
sleep_for,21.670732
sleep_for,7.397419
sleep_for,1.107697
sleep_for,1.000000
sleep_for,8.449484
sleep_for,6.135480
sleep_for,6.528315
sleep_for,7.376073
sleep_for,1.000000
sleep_for,2.219463
sleep_for,1.000000
sleep_for,9.942648
sleep_for,4.881506
sleep_for,2.009094
sleep_for,1.000000
sleep_for,1.862442
sleep_for,1.966571
sleep_for,6.539379
sleep_for,5.074447
sleep_for,10.911260
sleep_for,3.195331
sleep_for,1.000000
sleep_for,6.245632
sleep_for,7.151964
sleep_for,4.119437
sleep_for,7.369450
sleep_for,3.404074
sleep_for,3.698394
sleep_for,2.789071
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,5.058648
sleep_for,1.886984
sleep_for,3.552186
sleep_for,11.906328
sleep_for,1.433694
sleep_for,2.641410
sleep_for,7.043746
sleep_for,1.299026
sleep_for,1.000000
sleep_for,1.710702
sleep_for,1.000000
sleep_for,13.274750
sleep_for,8.254435
sleep_for,5.017471
sleep_for,10.257599
sleep_for,8.139845
sleep_for,1.032477
sleep_for,11.154067
sleep_for,3.875500
sleep_for,8.236741
sleep_for,11.321213
sleep_for,1.913654
sleep_for,1.000000
sleep_for,1.293434
sleep_for,2.785288
sleep_for,8.519149
sleep_for,9.856725
sleep_for,1.000000
sleep_for,3.574381
sleep_for,2.701367
sleep_for,1.255837
sleep_for,1.000000
sleep_for,2.059543
sleep_for,14.315606
sleep_for,1.951919
sleep_for,3.657264
sleep_for,6.070435
sleep_for,2.259872
sleep_for,17.838991
sleep_for,16.410049
sleep_for,1.450306
sleep_for,3.438296
sleep_for,1.789652
sleep_for,1.676248
sleep_for,1.000000
sleep_for,4.702460
sleep_for,3.492598
sleep_for,1.000000
sleep_for,1.633130
sleep_for,11.944305
sleep_for,1.369303
sleep_for,1.000000
sleep_for,3.361361
sleep_for,21.220185
sleep_for,1.385724
sleep_for,5.575775
sleep_for,7.169438
sleep_for,1.356666
sleep_for,6.513745
sleep_for,2.292614
sleep_for,5.002519
sleep_for,5.019189
sleep_for,3.836926
sleep_for,1.000000
sleep_for,9.018224
sleep_for,1.934051
sleep_for,1.032161
sleep_for,1.000000
sleep_for,4.468892
sleep_for,5.659259
sleep_for,1.000000
sleep_for,3.588153
sleep_for,1.284121
sleep_for,5.180622
sleep_for,1.000000
sleep_for,5.871063
sleep_for,2.444794
sleep_for,13.801719
sleep_for,1.000000
sleep_for,2.085662
sleep_for,1.000000
sleep_for,12.930952
sleep_for,10.491669
sleep_for,1.491637
sleep_for,5.393814
sleep_for,8.497420
sleep_for,4.050662
sleep_for,3.771397
sleep_for,1.384385
sleep_for,1.000000
sleep_for,11.375616
sleep_for,11.533872
sleep_for,5.013350
sleep_for,2.070233
sleep_for,2.147838
sleep_for,6.472327
sleep_for,11.370487
sleep_for,10.905663
sleep_for,7.567811
sleep_for,5.136553
sleep_for,1.000000
sleep_for,1.000000
sleep_for,11.441153
sleep_for,4.662470
sleep_for,1.000000
sleep_for,1.000000
sleep_for,5.445812
sleep_for,1.000000
sleep_for,1.000000
sleep_for,3.978489
sleep_for,5.886576
sleep_for,5.277207
sleep_for,1.269749
sleep_for,6.227086
sleep_for,1.354119
sleep_for,1.968175
sleep_for,6.861788
sleep_for,5.243869
sleep_for,9.459780
sleep_for,5.359066
sleep_for,4.200222
sleep_for,1.000000
sleep_for,2.292082
sleep_for,1.540801
sleep_for,1.398501
sleep_for,18.061547
sleep_for,2.496937
sleep_for,11.130276
sleep_for,4.986672
sleep_for,7.919126
sleep_for,3.492177
sleep_for,4.300780
sleep_for,3.391467
sleep_for,1.086074
sleep_for,6.408809
sleep_for,1.647887
sleep_for,1.000000
sleep_for,5.184844
sleep_for,1.000000
sleep_for,14.105416
sleep_for,15.387812
sleep_for,12.317549
sleep_for,2.311437
sleep_for,1.000000
sleep_for,13.177617
sleep_for,2.794691
sleep_for,17.004210
sleep_for,16.568677
sleep_for,9.586935
sleep_for,1.743880
sleep_for,2.431460
sleep_for,9.523633
sleep_for,1.905731
sleep_for,1.000000
sleep_for,4.068685
sleep_for,13.756467
sleep_for,5.954128
sleep_for,4.220562
sleep_for,1.000000
sleep_for,4.772654
sleep_for,23.052849
sleep_for,1.000000
sleep_for,3.652477
sleep_for,10.493043
sleep_for,6.750171
sleep_for,5.970372
sleep_for,6.061438
sleep_for,2.227462
sleep_for,1.737810
sleep_for,8.286873
sleep_for,8.306641
sleep_for,10.089750
sleep_for,12.223080
sleep_for,3.580466
sleep_for,3.480922
sleep_for,8.004750
sleep_for,5.248595
sleep_for,6.052753
sleep_for,7.943097
sleep_for,11.036617
sleep_for,2.062412
sleep_for,2.354684
sleep_for,1.000000
sleep_for,4.317070
sleep_for,1.000000
sleep_for,3.133035
sleep_for,3.911473
sleep_for,1.688153
sleep_for,4.468163
sleep_for,1.000000
sleep_for,1.000000
sleep_for,8.646757
sleep_for,2.232925
sleep_for,1.000000
sleep_for,3.693268
sleep_for,7.348240
sleep_for,1.215590
sleep_for,4.876098
sleep_for,1.000000
sleep_for,1.000000
sleep_for,3.789545
sleep_for,3.889552
sleep_for,5.072687
sleep_for,6.474803
sleep_for,18.617785
sleep_for,3.631456
sleep_for,1.950099
sleep_for,7.928270
sleep_for,1.579257
sleep_for,2.889917
sleep_for,1.000000
sleep_for,1.000000
sleep_for,16.436900
sleep_for,9.038838
sleep_for,5.953214
sleep_for,2.629298
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.440030
sleep_for,3.983953
sleep_for,6.269246
sleep_for,5.396952
sleep_for,1.642061
sleep_for,15.490517
sleep_for,6.695087
sleep_for,4.041152
sleep_for,4.730152
sleep_for,2.720189
sleep_for,1.423306
sleep_for,2.200071
sleep_for,7.090909
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,9.671015
sleep_for,6.081203
sleep_for,3.213923
sleep_for,1.000000
sleep_for,3.382590
sleep_for,3.207252
sleep_for,1.000000
sleep_for,2.844496
sleep_for,2.541683
sleep_for,4.783612
sleep_for,5.040573
sleep_for,1.000000
sleep_for,2.346920
sleep_for,4.915625
sleep_for,3.497197
sleep_for,9.706747
sleep_for,5.374874
sleep_for,1.000000
sleep_for,1.000000
sleep_for,5.141971
sleep_for,1.000000
sleep_for,4.406737
sleep_for,14.086277
sleep_for,4.283912
sleep_for,2.456503
sleep_for,5.154136
sleep_for,3.064780
sleep_for,3.944072
sleep_for,14.190636
sleep_for,2.439638
sleep_for,16.245459
sleep_for,11.787881
sleep_for,1.089481
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,5.744374
sleep_for,1.000000
sleep_for,1.920786
sleep_for,9.317630
sleep_for,1.000000
sleep_for,8.422653
sleep_for,1.655417
sleep_for,1.000000
sleep_for,5.965777
sleep_for,4.956996
sleep_for,10.497079
sleep_for,6.641468
sleep_for,8.134979
sleep_for,1.656669
sleep_for,1.000000
sleep_for,6.943782
sleep_for,8.221046
sleep_for,23.285024
sleep_for,2.660397
sleep_for,2.326220
sleep_for,7.489773
sleep_for,2.083668
sleep_for,13.350690
sleep_for,9.774196
sleep_for,2.801778
sleep_for,6.948924
sleep_for,7.023165
sleep_for,1.000000
sleep_for,11.642228
sleep_for,3.518537
sleep_for,8.756663
sleep_for,1.928677
sleep_for,11.293953
sleep_for,2.464942
sleep_for,1.000000
sleep_for,11.789536
sleep_for,1.000000
sleep_for,1.923268
sleep_for,14.984862
sleep_for,15.039748
sleep_for,4.259986
sleep_for,4.996150
sleep_for,2.975073
sleep_for,1.735114
sleep_for,1.992432
sleep_for,5.581618
sleep_for,6.979189
sleep_for,7.840977
sleep_for,7.794155
sleep_for,1.000000
sleep_for,3.410248
sleep_for,1.000000
sleep_for,3.987307
sleep_for,2.912776
sleep_for,10.933093
sleep_for,2.160958
sleep_for,1.000000
sleep_for,1.000000
sleep_for,7.167153
sleep_for,4.814528
sleep_for,1.000000
sleep_for,1.000000
sleep_for,6.036042
sleep_for,1.000000
sleep_for,8.625929
sleep_for,6.124999
sleep_for,1.000000
sleep_for,1.000000
sleep_for,21.577293
sleep_for,2.344188
sleep_for,2.315276
sleep_for,8.377877
sleep_for,14.710823
sleep_for,21.343870
sleep_for,6.999496
sleep_for,2.360105
sleep_for,1.000000
sleep_for,7.506213
sleep_for,4.086802
sleep_for,2.760166
sleep_for,11.841188
sleep_for,1.000000
sleep_for,3.392526
sleep_for,1.000000
sleep_for,3.161772
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,5.237842
sleep_for,6.852989
sleep_for,4.377769
sleep_for,16.373601
sleep_for,2.348983
sleep_for,1.682346
sleep_for,10.147513
sleep_for,1.265410
sleep_for,16.514351
sleep_for,1.000000
sleep_for,17.512635
sleep_for,1.000000
sleep_for,11.088606
sleep_for,3.750716
sleep_for,24.784143
sleep_for,1.000000
sleep_for,4.035548
sleep_for,17.417876
sleep_for,3.702220
sleep_for,4.963141
sleep_for,5.949506
sleep_for,3.030639
sleep_for,4.938371
sleep_for,4.389129
sleep_for,11.571164
sleep_for,1.000000
sleep_for,1.649214
sleep_for,15.019980
sleep_for,11.048379
sleep_for,3.040876
sleep_for,4.839665
sleep_for,1.624367
sleep_for,1.042021
sleep_for,3.115293
sleep_for,2.179768
sleep_for,4.381219
sleep_for,1.000000
sleep_for,18.324801
sleep_for,21.419328
sleep_for,5.989319
sleep_for,3.840392
sleep_for,1.851897
sleep_for,8.404536
sleep_for,5.771648
sleep_for,1.000000
sleep_for,12.091505
sleep_for,8.644973
sleep_for,14.958693
sleep_for,6.468020
sleep_for,4.752020
sleep_for,2.708513
sleep_for,13.495092
sleep_for,10.051962
sleep_for,1.000000
sleep_for,1.000000
sleep_for,2.361739
sleep_for,8.318239
sleep_for,21.821377
sleep_for,1.000000
sleep_for,4.508621
sleep_for,2.397368
sleep_for,17.518543
sleep_for,9.229566
sleep_for,9.110950
sleep_for,3.162078
sleep_for,2.679175
sleep_for,1.596944
sleep_for,1.000000
sleep_for,10.002131
sleep_for,8.380587
sleep_for,40.862228
sleep_for,28.474367
sleep_for,4.053258
sleep_for,7.326415
sleep_for,14.480858
sleep_for,9.473860
sleep_for,1.420762
sleep_for,2.994134
sleep_for,1.000000
sleep_for,15.401119
sleep_for,4.659239
sleep_for,1.298019
sleep_for,5.569148
sleep_for,4.813352
sleep_for,2.217102
sleep_for,1.000000
sleep_for,5.567206
sleep_for,3.673052
sleep_for,7.399035
sleep_for,3.671549
sleep_for,9.558851
sleep_for,4.013771
sleep_for,4.115573
sleep_for,10.463793
sleep_for,2.583237
sleep_for,1.000000
sleep_for,1.000000
sleep_for,7.035287
sleep_for,4.841995
sleep_for,6.088327
sleep_for,1.197407
sleep_for,1.000000
sleep_for,1.000000
sleep_for,2.158436
sleep_for,4.456987
sleep_for,2.489909
sleep_for,2.876598
sleep_for,11.725308
sleep_for,2.140513
sleep_for,3.607625
sleep_for,7.654359
sleep_for,2.525401
sleep_for,4.865452
sleep_for,9.915703
sleep_for,14.930952
sleep_for,1.000000
sleep_for,13.058314
sleep_for,3.387514
sleep_for,1.493677
sleep_for,3.072935
sleep_for,19.568265
sleep_for,3.392456
sleep_for,1.993080
sleep_for,5.017431
sleep_for,1.373142
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,5.120420
sleep_for,1.003732
sleep_for,2.120697
sleep_for,11.354871
sleep_for,3.211906
sleep_for,5.506445
sleep_for,1.000000
sleep_for,1.067755
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.632741
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.000000
sleep_for,3.088147
sleep_for,1.155461
sleep_for,2.264906
sleep_for,3.500026
sleep_for,5.862287
sleep_for,1.000000
sleep_for,8.032471
sleep_for,4.942968
sleep_for,1.000000
sleep_for,10.340673
sleep_for,12.683468
sleep_for,1.000000
sleep_for,1.620884
sleep_for,8.204676
sleep_for,6.896786
sleep_for,1.019898
sleep_for,1.174495
sleep_for,2.313926
sleep_for,3.313313
sleep_for,4.815009
sleep_for,2.301563
sleep_for,3.104456
sleep_for,6.881145
sleep_for,1.000000
sleep_for,1.454683
sleep_for,6.247459
sleep_for,11.278834
sleep_for,3.583896
sleep_for,3.797648
sleep_for,1.000000
sleep_for,2.965716
sleep_for,3.803034
sleep_for,1.388464
sleep_for,1.568373
sleep_for,2.368325
sleep_for,1.000000
sleep_for,1.943624
sleep_for,1.187785
sleep_for,1.983746
sleep_for,1.000000
sleep_for,11.060399
sleep_for,4.501994
sleep_for,5.683165
sleep_for,7.783545
sleep_for,3.450182
sleep_for,1.000000
sleep_for,3.851292
sleep_for,4.419615
sleep_for,6.841083
sleep_for,2.825173
sleep_for,1.000000
sleep_for,1.668811
sleep_for,2.255574
sleep_for,5.191123
sleep_for,4.228909
sleep_for,2.201034
sleep_for,21.530979
sleep_for,4.654165
sleep_for,1.353973
sleep_for,1.000000
sleep_for,1.000000
sleep_for,1.411534
sleep_for,1.000000
sleep_for,1.032459
sleep_for,1.678029
sleep_for,1.000000
sleep_for,11.353757
sleep_for,1.000000
sleep_for,3.717062
sleep_for,2.641528
sleep_for,20.193211
sleep_for,1.000000
sleep_for,2.536290
sleep_for,17.445298
sleep_for,10.031220
sleep_for,8.493315
sleep_for,1.491375
sleep_for,1.000000
sleep_for,5.522798
sleep_for,13.251925
sleep_for,4.068252
sleep_for,4.238638
sleep_for,1.642375
sleep_for,7.337369
sleep_for,1.035390
sleep_for,1.955439
sleep_for,2.770723
sleep_for,3.542425
sleep_for,1.388063
sleep_for,1.000000
sleep_for,4.715998
sleep_for,1.702817
sleep_for,4.352265
sleep_for,1.000000
sleep_for,3.280607
sleep_for,3.802736
sleep_for,1.000000
sleep_for,2.051918
sleep_for,1.000000
sleep_for,1.000000
sleep_for,23.006007
sleep_for,1.945650
sleep_for,8.300353
sleep_for,1.469444
sleep_for,5.720707
sleep_for,7.140331
sleep_for,4.527233
sleep_for,3.189283
sleep_for,2.653789
sleep_for,2.145217
sleep_for,13.262780
sleep_for,8.878035
sleep_for,16.765882
sleep_for,1.000000
sleep_for,6.562757
sleep_for,13.930636
sleep_for,1.000000
sleep_for,1.000000
sleep_for,6.756966
sleep_for,4.272136
sleep_for,9.220386
sleep_for,1.000000
sleep_for,7.930251
sleep_for,1.125899
sleep_for,1.000000
sleep_for,1.000000
sleep_for,8.425516
sleep_for,5.471068
sleep_for,3.701880
sleep_for,2.222307
sleep_for,10.486013
sleep_for,2.491564
sleep_for,8.480413
sleep_for,2.891374
sleep_for,2.365598
sleep_for,3.105805
sleep_for,1.793226
sleep_for,6.883887
sleep_for,3.493014
sleep_for,1.321213
sleep_for,11.491699
sleep_for,2.421659
sleep_for,3.921412
sleep_for,11.847478
sleep_for,4.893997
sleep_for,1.000000
sleep_for,14.053083
sleep_for,4.940385
sleep_for,2.039132
sleep_for,1.000000
sleep_for,7.900007
sleep_for,4.838878
sleep_for,3.812069
sleep_for,11.216517
sleep_for,7.769950
sleep_for,1.000000
sleep_for,1.867813
sleep_for,1.428348
sleep_for,6.811840
sleep_for,1.000000
sleep_for,4.218568
sleep_for,7.187069
sleep_for,10.468337
sleep_for,2.093373
sleep_for,8.609040
sleep_for,1.000000
sleep_for,9.368720
sleep_for,1.000000
sleep_for,2.531573
sleep_for,7.980027
sleep_for,1.000000
sleep_for,1.301965
sleep_for,6.405215
sleep_for,6.365481
sleep_for,5.124221
sleep_for,5.920009
sleep_for,3.912346
sleep_for,1.450418
sleep_for,2.120916
sleep_for,1.002006
sleep_for,11.954381
sleep_for,4.378045
sleep_for,2.561228
sleep_for,3.099538
sleep_for,14.714119
sleep_for,1.000000
sleep_for,4.412223
sleep_for,3.524972
sleep_for,4.726722
sleep_for,1.000000
sleep_for,10.283468
sleep_for,13.449943
sleep_for,4.163577
sleep_for,5.964354
sleep_for,12.787347
sleep_for,6.141987
sleep_for,1.000000
sleep_for,4.293511
sleep_for,4.666104
sleep_for,2.759373
sleep_for,6.667452
sleep_for,13.618384
sleep_for,12.989381
sleep_for,2.996821
sleep_for,1.000000
sleep_for,20.945870
sleep_for,9.128591
sleep_for,1.000000
sleep_for,12.681540
sleep_for,10.197120
sleep_for,3.657757
sleep_for,4.473569
sleep_for,2.545824
sleep_for,1.000000
sleep_for,2.041324
sleep_for,8.119040
